1009483
50 5
10 8 6 4 2
0 4692 4883 5158 4447 4865 14
1 4587 4437 3521 3692 2874 14
2 4303	4547 4760 4173 4153 14
3 3659	2647 3795 3267 3445 14
4 2664	2289 2776 2337 2583 14
5 2778	3331 2197 2665 3721 14
6 7476	4182 4528 4765 4566 14
7 3119	4188 2774 3578 3159 14
8 4983	3098 4362 4823 2148 14
9 4701	2432 3414 4477 3575 14
10 3168	4922 3830 4858 1610 14
11 3999	5329 3524 4145 5341 14
12 4388	5168 3623 4250 3379 14
13 2949	3184 2839 3141 2429 14
14 4192	2215 3346 3582 3738 14
15 4734	4114 4862 4043 4919 14
16 3636	3045 3835 3737 4924 14
17 3304	3772 3151 3298 3606 14
18 3084	3141 2581 2983 3733 14
19 4555	5694 4820 4359 5522 14
20 1927	2740 2398 1786 2169 14
21 4312	5722 6060 5438 3897 14
22 6375	4353 6090 4278 4312 14
23 3320	4148 3279 4196 1747 14
24 2828	4092 4770 4749 4736 14
25 4469	4660 4092 4604 5699 14
26 3967	5074 3275 6216 4329 14
27 4416	6604 5073 5986 5525 14
28 3296	4415 4778 5280 4354 14
29 6323	6568 8733 6251 7006 14
30 4534	4198 3746 5056 3425 14
31 3261	4273 3378 2563 2912 14
32 4228	3131 2719 3721 3290 14
33 4674	3056 4433 4457 4576 14
34 2700	4454 4489 3732 3476 14
35 5495	3776 2884 4051 3851 14
36 1915	4023 3202 2968 3607 14
37 6276	4988 6816 5973 5194 14
38 3892	2799 3726 3183 2451 14
39 2021	2715 1504 2203 2377 14
40 4074	6080 5632 5361 3669 14
41 3659	2635 3263 2879 3616 14
42 5936	4502 4503 4453 5636 14
43 6312	6232 6516 4451 6400 14
44 4160	5118 3600 4158 3218 14
45 2560	4236 2590 3909 4358 14
46 5234	4903 5501 4321 3423 14
47 3569	3875 3805 3028 3053 14
48 4426	4755 4500 4328 5209 14
49 2160	3181 1793 2419 2995 14
30
350 350 350 350 350 350 300 300 300 300 300 300 300 300 250 250 250 250 250 250 250 250 200 200 200 200 200 200 200 200
100000
